id,title,authors,venue,year
30143,extended fuzzy cognitive maps . in 92 ieee int conf fuzzy syst fuzz-ieee,m hagiwara,"san diego ,",
30144,erenes uv/vis spectroscopy,"v balzani , s campagna , g denti , a juris , s serroni","acc . chem . res ,",1998.0
30145,biochemical monitoring of toxic and carcinogenic organic pollutants along the ä ° zmä ° r bay after the,t boyuneä?mez,,2004.0
30146,reengineering revisited,"th davenport , l prusak","computerworld ,",
30147,an extension of the cayley-hamilton theorem for a standard pair of block matrices,t kaczorek,,
30148,comparison of organic and conventional rotations at the neely-kinyon long-term agroecological,"km delate , c cambardella","& hellip ; armstrong research and demonstration farm progress report , & hellip ; ,",
30149,declustering databases on heterogeneous disk systems,"lt chen , d rotem","proceedings of the international conference on very large & hellip ; ,",1995.0
30150,logical design for temporal databases with multiple temporal types,"xs wang , c bettini , a brodsky , s jajodia","acm transactions on database systems ,",1997.0
30151,transformative learning : theory to practice,j mezirow,"new directions for adult and continuing education ,",1997.0
30152,full distribution in objectivity/db .,ae wade,,
30153,astroparticle phys,"m gasperini , g veneziano",i,
30154,"related-key and slide attacks : analysis , connections , and improvements","m ciet , g piret , jj quisquater",,
30155,"the contexts of college teaching , past and future .",ke eble,"new directions for teaching and learning ,",1988.0
30156,brodley ce : the effect of instance-space partition on significance,jp bradford,"machine learning ,",
30157,structure and semantics in oodb class specifications,"ej neuhold , g darmstadt","sigmod record ,",1991.0
30158,geese of the yukon-kuskokwim delta : improvements or illusions,js sedinger,"proc int waterfowl symp ,",
30159,digital circuit applications of resonant tunneling devices,"p mazumder , s kulkarni , m bhattacharya , jp sun , gi","proceedings-ieee ,",1998.0
30160,balancing histogram optimality and practicality for query result size estimation,v poosala,,1995.0
30161,implementing large production systems ina dbms environment : concepts and algorithms,"tk sellis , cc lin , l raschid",proceedings of acm sigmod 1988 international conference on,
30162,from process logic to program logic,k honda,,
30163,fine scale structure of the eurasian crust and upper mantle from high-frequency waves,th jordan,,1995.0
30164,does megestrol acetate down-regulate interleukin-6 in patients with cancer-associated anorexia and,"a jatoi , j yamashita , j sloan , p novotny , h","supportive care in cancer ,",2002.0
30165,dlfm : a transactional resource manager,"hi hsiao , i narang","sigmod conference ,",2000.0
30166,ed short staffing : it is time to take a hard look at a growing problem and strategies such as,gp lenehan,"journal of emergency nursing ,",1999.0
30167,priorities in wlans,"i aad , c castelluccia","computer networks ,",2003.0
30168,the fundamental nature of requirement engineering activities as a decision-making process,"a aurum , c wohlin","information and software technology ,",
30169,filtering with approximate predicates,"n shivakumar , h garcia-molina , c chekuri","proceedings of the international conference on very large & hellip ; ,",1998.0
30170,microsoft word version 2002 step-by-step,i perspection,,2001.0
30171,evolution of symbolic grammar systems,"t hashimoto , t ikegami","lecture notes in computer science ,",1995.0
30172,franz kafka and william sansom,pf neumeyer,"wisconsin studies in contemporary literature ,",1966.0
30173,grounded mos resistor . '',"sa mahmoud , ho elwan , am soliman","electronic engineering ,",
30174,antibiotics for preventing recurrent urinary tract infection in non-pregnant women,"x albert , i huertas , ii pereiro , j sanfelix , v","cochrane database syst rev ,",2004.0
30175,high-speed policy based forwarding using efficient multi-dimensional range matching,"tv lakshman , d stiliadis",proceedings of acm,
30176,education : the fuel for tech 's golden age,j costello,"electronic business ,",2000.0
30177,voip gateways and the megaco architecture,b rosen,"bt technology journal ,",2001.0
30178,acm sigmod record : special issue on electronic commerce,a dogac,"acm sigmod record . acm ,",
30179,full text pdf format pdf ( 190 kb ) source acm sigmod record archive,"t catarci , if cruz","acm sigmod record ,",1996.0
30180,assessing student work from chatrooms and bulletin boards,jf bauer,"new directions for teaching and learning ,",2002.0
30181,sexual intercourse for cervical ripening and induction of labour,"j kavanagh , aj kelly , j thomas","cochrane database syst rev ,",2005.0
30182,microporous and mesoporous materials,"l gora , jc jansen , t maschmeyer",,
30183,aplicacionesâ ?? microsoft excel,m del usuario de visual basic,,2000.0
30184,link-dependent explanation generation,k kukich,"proceedings of the 23rd an-nual meeting of the association & hellip ; ,",
30185,some reviews of current literature,jr swenson,"acm sigmod record ,",1974.0
30186,modeling crosscutting in aspect-oriented mechanisms,"h masuhara , g kiczales","lecture notes in computer science ,",2003.0
30187,surface plasmons confined by microstructures,rw rendell,"ph. d. thesis california univ. , santa barbara. ,",1979.0
30188,a decomposition-based simulated annealing technique for data clustering,"ka hua , sd lang , wk lee","proceedings of the thirteenth acm sigact-sigmod-sigart & hellip ; ,",1994.0
30189,gluconeogenesis : methodological approaches in vivo,"jl chiasson , je liljenquist , ww lacy , as jennings ,","fed proc ,",1977.0
30190,"tpc-ds , taking decision support benchmarking to the next level","m poess , b smith , l kollar , p larson","sigmod conference ,",2002.0
30191,large elapids and arboreality : the ecology of jameson 's green mamba ( dendroaspis jamesoni ) in an,"l luiselli , fm angelici , gc akani","contributions to zoology ,",2000.0
30192,probabilistic delay guarantees using delay distribution measurement,"k gopalan , t chiueh , yj lin","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
30193,scatternet formation algorithms in the bluetooth network,"k balaji , s kapoor , aa nanavati , l ramachandran",submitted for,
30194,segmenting the breast border and nipple on mammograms,"r chandrasekhar , y attikiouzel","& hellip ; journal of intelligent information processing systems ,",
30195,"und narasayya , vr : automated selection of materialized views and indexes for sql databases","s agrawal , s chaudhuri",proceedings of 26th international conference on very large,
30196,literature and social studies : a spicy mix for fifth graders .,k tomasino,"social studies and the young learner ,",1993.0
30197,tradeoffs in processing complex join queries via hashing in multi-processor database machines,"ds sd901 , d dewitt","proc . of the intl. vldb conference , melbourne , australia ,",
30198,costly bidding in online markets for it services,"em snir , lm hitt","management science ,",2003.0
30199,effect of enkephalins and morphine on insulin secretion from isolated rat islets,"ic green , d perrin , kc pedley , rdg leslie , da pyke","diabetologia ,",1980.0
30200,attitude strength : one construct or many related constructs ?,"ja krosnick , ds boninger , yc chuang , mk berentâ ? ¦","journal of personality and social psychology ,",1993.0
30201,modelling quality of service for workflows and web service processes,"a sheth , j cardoso , j miller , j arnold",,2002.0
30202,artemether-lumefantrine for treating uncomplicated falciparum malaria,"aa omari , c preston , p garner","cochrane database syst rev ,",2003.0
30203,north from mexico : the spanish speaking people of the united states,c mcwilliams,,
30204,the indiana postsecondary-encouragement experiment .,"d hossler , j schmit","new directions for higher education ,",1995.0
30205,the functional data model and daplex,dw shipman,"acm transactions on database systems ,",
30206,embedding expert knowledge and hypothetical data bases in a data base system,"m stonebraker , k keller",,
30207,live ego-motion estimation,d nister,"demonstration , iccv ,",
30208,measurement of lateral strains of sand with lateral ldts in triaxial tests,"t sato , y kamegai , msa siddiquee , e hoque , y","proc . 29th japan nat . conf . soil mech . found . engng , morioka ,",
30209,the cognition-emotion process in achievement-related contexts,"b weiner , d russell , d lerman","journal of personality and social psychology ,",
30210,brief announcement : concurrent maintenance of rings,"x li , j misra , cg plaxton",,
30211,an online video placement policy based on bandwidth to space ratio ( bsr ),"a dan , d sitaram",,
30212,â ?? parlog : a tutorial introduction .,d gilbert,,
30213,"rigor , but not rigor mortis , in depression research","pc kendall , ec flannery-schroeder","journal of personality and social psychology ,",1995.0
30214,study of a gas microstrip detector for medical applications,"gc giakos , s chowdhury , a dasgupta , a dasgupta , p","proc . int . soc . opt . eng . ( spie ) ,",
30215,detection of signals in chaos,"s haykin , xb li","proceedings-ieee ,",1995.0
30216,knowledge-based information acquisition : norms and the functions of consensus information,"dj hilton , rh smith , md alicke","journal of personality and social psychology ,",1988.0
30217,files with semantics,n minsky,"proceedings of the 1976 acm sigmod international conference & hellip ; ,",1976.0
30218,"distribution , abundance , and aspects of the life histories of the midwater fishes from three regions",tg bailey,,1984.0
30219,silver acetate for smoking cessation,"t lancaster , lf stead","cochrane database syst rev ,",2000.0
30220,"smith. , k. , and robinson , p. , eds. , â ?? strategies for energizing large classes : from small groups to","j macgregor , j cooper",new directions for teaching and,
30221,a practical environment for fortran programming,"a carle , kd cooper , rt hood , k kennedy , l torczon ,","ieee computer ,",
